,Time,User,Tweet
0,2023-03-30 13:52:09+00:00,RailaOdinga,RT @AzimioTv: The entire Azimio family is grateful to Residents of Pipeline who selflessly poured water down from their high-rise flats to…
1,2023-03-30 13:46:03+00:00,Matthew_WebDev,"RT @NoDegreeDotCom: Just turned 32!

I'm thankful for my girlfriend, amazing friends, and the amazing community on here that has my back.…"
2,2023-03-30 13:38:18+00:00,HarunMbaabu,Topic: Demystifying the Data Science Workflow and Career paths in Data Science https://t.co/QKAtWy9oEm
3,2023-03-30 13:36:40+00:00,DD_FaFa_,RT @samuel_wong_: Building Airbnb Categories with ML &amp; Human in the Loop https://t.co/3ZZlLDCkX3
4,2023-03-30 13:34:20+00:00,PrasoonPratham,"RT @EclipseFND: Eclipse and @Injective_  launch Cascade: the first interchain Solana SVM! 🎉

Solana dApps can now be built and utilized on…"
5,2023-03-30 13:33:54+00:00,StanleyMasinde_,🔥 https://t.co/JDGy9PJ7pl
6,2023-03-30 13:33:50+00:00,googleafrica,"Access unmatched networking opportunities, live training sessions and 1-1 mentorship. Apply today:… https://t.co/ta3HA4ekgD"
7,2023-03-30 13:32:24+00:00,kchonyc,"""A meta-review is like a fine wine: it gets better with age. But only if you submit it on time!"" - Bard

#ICML2023… https://t.co/Xp79HVX8Nx"
8,2023-03-30 13:31:51+00:00,HarunMbaabu,"#BeyondTheHype Data Science Hands-On MeetUp by @DSEAfrica

Speaker: @categitau_, data science manager @Visa . 

Top… https://t.co/EFTe4b6FsO"
9,2023-03-30 13:30:26+00:00,droid254,"RT @ianmbunde: Nobody:

Raila's driver: https://t.co/pKPtgOoOXI"
10,2023-03-30 13:28:19+00:00,VuyanziG,Designers on their way to team-wide meetings to say “ Nothing to add from my end” or “…no major update..” https://t.co/QLp2iuByva
11,2023-03-30 13:27:45+00:00,droid254,The public chasing the cops is a funny sight
12,2023-03-30 13:23:56+00:00,Bangiss_,RT @IAmSoosy: Fear of programming is real and it is quite prevalent among some Arewa women. Here are some tech skills you can learn that do…
13,2023-03-30 13:23:33+00:00,johnsonyaanga,RT @JacksiroKe: That moment when the CTO or TechLead comes from a trip and shows up in the stand up https://t.co/OLnt67epUi
14,2023-03-30 13:23:06+00:00,HarunMbaabu,"#BeyondTheHype Data Science Hands-On MeetUp by @DSEAfrica

Speaker:  @kennedykwangari, data scientist at @unepwcmc… https://t.co/nIHCHf9ZFM"
15,2023-03-30 13:22:31+00:00,_Chepsi,"RT @omwambaKE: Meanwhile, Embarambamba is Back! https://t.co/M7Fp0DtPmx"
16,2023-03-30 13:14:29+00:00,pierrepinna,"a Pause in #AI research, no, a Change of Course, Yes! 

https://t.co/8AH5gYcBVa 
by @pierrepinna via @ipfconline1… https://t.co/8GXFIKat1d"
17,2023-03-30 13:13:00+00:00,KirkDBorne,#AI-assisted #DataScience and #MLOps At Scale — @AbacusAI enables real-time #MachineLearning and #DeepLearning at s… https://t.co/FMUTCoK3wq
18,2023-03-30 13:10:32+00:00,kirinyetbrian,😂😂😂😂 https://t.co/4hYStSOXZ7
